CUDEL	CUCONO	CUPROD	CUCNTR	CUUNMS	CUOPER	CUCVFA	CUHAZM	CUIUM	CUFEGL	CUF001
I	10	5000	003	GAL	M	320.0000000	N	TOT	0	                          
I	10	5000	501	GAL	M	5.0000000	N	PAL	0	                          
 	10	5000	646	GAL	M	53.0000000	N	DRM	0	                          
 	10	5000	650	GAL	M	295.0000000	N	TOT	0	                          
 	10	5000	650	LBS	M	2300.0000000	N	TOT	0	                          
 	10	5000	797	LBS	M	2650.0000000	N	TOT	0	                          
I	10	5001	004	GAL	M	220.0000000	N	TOT	0	                          
I	10	5001	066	GAL	M	275.0000000	N	TOT	0	                          
 	10	5003	001	GAL	M	1.0000000	N	GAL	0	                          
 	10	5007	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	5013	001	GAL	M	1.0000000	Y	GAL	0	                          
I	10	5014	001	GAL	M	1.0000000	Y	GAL	0	                          
 	10	5015	001	GAL	M	1.0000000	Y	GAL	0	                          
I	10	5224	601	GAL	M	55.0000000	N	DRM	0	                          
 	10	5265	025	LI 	M	12.0000000	N	CAS	0	                          
I	10	5623	011	GAL	M	3.0000000	N	CAS	0	                          
 	10	5890	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	5890	646	GAL	M	55.0000000	N	DRM	0	                          
I	10	5914	501	GAL	M	5.0000000	N	PAL	0	                          
I	10	5930	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	6003	601	GAL	M	55.0000000	N	DRM	0	                          
I	10	6301	053	GAL	M	1.0000000	N	GAL	0	                          
I	10	6301	054	GAL	M	3.0000000	N	CAS	0	                          
I	10	6301	055	GAL	M	3.0000000	N	CAS	0	                          
I	10	6301	622	GAL	M	55.0000000	N	DRM	0	                          
I	10	6301	652	GAL	M	55.0000000	N	DRM	0	                          
I	10	6302	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	6302	053	GAL	M	1.0000000	N	GAL	0	                          
I	10	6302	060	GAL	M	1.5000000	N	CAS	0	                          
I	10	6302	071	GAL	M	1.5852000	N	CAS	0	                          
I	10	6302	113	GAL	M	3.0000000	N	CAS	0	                          
I	10	6302	134	GAL	M	3.9625000	N	CAS	0	                          
D	10	6302	135	GAL	M	3.9625000	N	CAS	0	                          
I	10	6302	137	GAL	M	3.7500000	N	CAS	0	                          
I	10	6302	147	GAL	M	3.4874400	N	CAS	0	                          
I	10	6302	327	GAL	M	30.0000000	N	CAS	0	                          
I	10	6302	622	GAL	M	55.0000000	N	DRM	0	                          
D	10	6303	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	6303	053	GAL	M	1.0000000	N	GAL	0	                          
I	10	6303	061	GAL	M	1.5000000	N	CAS	0	                          
I	10	6303	072	GAL	M	1.5850000	N	CAS	0	                          
I	10	6303	075	GAL	M	1.5000000	N	GAL	0	                          
I	10	6303	112	GAL	M	3.0000000	N	CAS	0	                          
I	10	6303	136	GAL	M	3.9625000	N	CAS	0	                          
I	10	6303	148	GAL	M	3.4874400	N	CAS	0	                          
I	10	6303	327	GAL	M	30.0000000	N	CAS	0	                          
I	10	6303	328	GAL	M	30.0000000	N	PAL	0	                          
I	10	6303	622	GAL	M	55.0000000	N	DRM	0	                          
D	10	6304	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	6304	053	GAL	M	1.0000000	N	GAL	0	                          
I	10	6304	062	GAL	M	1.5000000	N	CAS	0	                          
I	10	6304	070	GAL	M	1.5852000	N	CAS	0	                          
I	10	6304	134	GAL	M	3.9625000	N	CAS	0	                          
I	10	6304	135	GAL	M	3.9625000	N	CAS	0	                          
I	10	6304	138	GAL	M	3.7500000	N	CAS	0	                          
I	10	6304	149	GAL	M	3.4874400	N	CAS	0	                          
I	10	6304	327	GAL	M	30.0000000	N	CAS	0	                          
I	10	6304	622	GAL	M	55.0000000	N	DRM	0	                          
I	10	6305	056	GAL	M	3.0000000	N	CAS	0	                          
I	10	6306	053	GAL	M	1.0000000	N	GAL	0	                          
I	10	6306	063	GAL	M	1.5000000	N	CAS	0	                          
I	10	6306	139	GAL	M	3.7500000	N	CAS	0	                          
I	10	6307	112	GAL	M	3.0000000	N	CAS	0	                          
I	10	6307	113	GAL	M	3.0000000	N	CAS	0	                          
I	10	6307	592	GAL	M	55.0000000	N	DRM	0	                          
I	10	6308	053	GAL	M	1.0000000	N	GAL	0	                          
I	10	6308	059	GAL	M	1.5000000	N	CAS	0	                          
I	10	6308	069	GAL	M	1.5852000	N	CAS	0	                          
I	10	6308	143	GAL	M	3.9625900	N	CAS	0	                          
I	10	6308	144	GAL	M	3.4874400	N	CAS	0	                          
I	10	6308	146	GAL	M	3.7500000	N	CAS	0	                          
I	10	6308	327	GAL	M	30.0000000	N	CAS	0	                          
I	10	6308	622	GAL	M	55.0000000	N	DRM	0	                          
I	10	6309	508	GAL	M	5.0000000	N	PAL	0	                          
I	10	6310	053	GAL	M	1.0000000	N	GAL	0	                          
I	10	6310	073	GAL	M	1.5850000	N	CAS	0	                          
I	10	6310	622	GAL	M	55.0000000	N	DRM	0	                          
 	10	6310	697	LBS	M	120.0000000	N	KEG	0	                          
I	10	6311	053	GAL	M	1.0000000	N	GAL	0	                          
I	10	6311	074	GAL	M	1.5000000	N	CAS	0	                          
I	10	6311	154	GAL	M	3.7500000	N	CAS	0	                          
I	10	6311	327	GAL	M	30.0000000	N	CAS	0	                          
I	10	6312	053	GAL	M	1.0000000	N	GAL	0	                          
I	10	6312	077	GAL	M	1.5000000	N	CAS	0	                          
I	10	6312	157	GAL	M	3.7500000	N	CAS	0	                          
I	10	6312	327	GAL	M	30.0000000	N	CAS	0	                          
 	10	6753	013	GAL	M	3.0000000	N	CAS	0	                          
I	10	6818	982	GAL	M	55.0000000	N	DRM	0	                          
 	10	6844	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	6844	033	GAL	M	3.0000000	N	CAS	0	                          
I	10	6844	035	GAL	M	1.0000000	N	GAL	0	                          
I	10	6844	045	GAL	M	330.0000000	N	TOT	0	                          
I	10	6844	118	GAL	M	4.0000000	N	CAS	0	                          
I	10	6844	303	GAL	M	5.0000000	N	CAS	0	                          
I	10	6844	305	GAL	M	5.0000000	N	CAS	0	                          
I	10	6844	317	GAL	M	30.0000000	N	CAS	0	                          
I	10	6844	510	GAL	M	5.0000000	N	PAL	0	                          
I	10	6844	511	GAL	M	5.0000000	N	PAL	0	                          
I	10	6844	516	GAL	M	5.0000000	N	PAL	0	                          
I	10	6844	619	GAL	M	55.0000000	N	DRM	0	                          
 	10	6845	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	6845	033	GAL	M	3.0000000	N	CAS	0	                          
I	10	6845	035	GAL	M	1.0000000	N	GAL	0	                          
I	10	6845	045	GAL	M	330.0000000	N	TOT	0	                          
I	10	6845	119	GAL	M	4.0000000	N	CAS	0	                          
I	10	6845	304	GAL	M	5.0000000	N	CAS	0	                          
I	10	6845	318	GAL	M	30.0000000	N	CAS	0	                          
I	10	6845	510	GAL	M	5.0000000	N	PAL	0	                          
I	10	6845	514	GAL	M	5.0000000	N	PAL	0	                          
I	10	6845	620	GAL	M	55.0000000	N	DRM	0	                          
 	10	6846	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	6846	510	GAL	M	5.0000000	N	PAL	0	                          
I	10	6846	511	GAL	M	5.0000000	N	PAL	0	                          
I	10	6846	516	GAL	M	5.0000000	N	PAL	0	                          
I	10	6846	617	GAL	M	55.0000000	N	DRM	0	                          
 	10	6847	001	GAL	M	1.0000000	N	GAL	0	                          
I	10	6847	033	GAL	M	3.0000000	N	CAS	0	                          
I	10	6847	035	GAL	M	1.0000000	N	GAL	0	                          
I	10	6847	045	GAL	M	330.0000000	N	TOT	0	                          
I	10	6847	117	GAL	M	4.0000000	N	CAS	0	                          
I	10	6847	302	GAL	M	5.0000000	N	CAS	0	                          
I	10	6847	316	GAL	M	30.0000000	N	CAS	0	                          
I	10	6847	510	GAL	M	5.0000000	N	PAL	0	                          
I	10	6847	511	GAL	M	5.0000000	N	PAL	0	                          
