WTDEL	WTCONO	WTPROD	WTCNTR	WTGROS	WTTARE	WTNET	WTGAL	WTF001
I	10	7317	982	442.00	35.00	407.00	55.0000000	                        
I	10	7325	982	442.00	35.00	407.00	55.0000000	                        
I	10	7325	983	436.10	35.00	401.10	55.0000000	                        
I	10	7325	991	2032.00	93.00	1939.00	275.0000000	                        
I	10	7331	601	442.00	35.00	407.00	55.0000000	                        
I	10	7331	982	442.00	35.00	407.00	55.0000000	                        
I	10	7332	601	442.00	35.00	407.00	55.0000000	                        
I	10	7332	982	442.00	35.00	407.00	55.0000000	                        
I	10	7333	601	442.00	0.00	442.00	55.0000000	                        
I	10	7333	982	442.00	35.00	407.00	55.0000000	                        
I	10	7336	501	41.50	2.50	39.00	5.0000000	                        
I	10	7336	502	39.00	2.50	36.50	5.0000000	                        
I	10	7336	601	442.00	35.00	407.00	55.0000000	                        
I	10	7336	603	436.10	35.00	401.10	55.0000000	                        
I	10	7337	501	41.50	2.50	39.00	5.0000000	                        
I	10	7337	502	39.00	2.50	36.50	5.0000000	                        
I	10	7337	601	442.00	35.00	407.00	55.0000000	                        
I	10	7337	603	436.10	35.00	401.10	55.0000000	                        
I	10	7338	501	41.50	2.50	39.00	5.0000000	                        
I	10	7338	502	39.00	2.50	36.50	5.0000000	                        
I	10	7338	601	442.00	35.00	407.00	55.0000000	                        
I	10	7338	603	436.10	35.00	401.10	55.0000000	                        
I	10	7344	601	436.10	35.00	401.10	55.0000000	                        
I	10	7346	980	436.10	35.00	401.10	55.0000000	                        
I	10	7346	982	442.00	37.00	405.00	55.0000000	                        
I	10	7347	982	436.10	35.00	401.10	55.0000000	                        
I	10	7348	601	442.00	35.00	407.00	55.0000000	                        
I	10	7348	982	442.00	35.00	407.00	55.0000000	                        
I	10	7351	601	429.99	35.00	394.99	55.0000000	                        
I	10	7351	982	442.00	35.00	407.00	55.0000000	                        
 	10	7352	100	31.64	2.50	29.14	4.0000000	                        
I	10	7352	448	41.50	2.50	39.00	5.0000000	                        
 	10	7352	501	38.92	2.50	36.42	5.0000000	                        
I	10	7352	502	39.00	2.50	36.50	5.0000000	                        
 	10	7352	601	435.61	35.00	400.61	55.0000000	                        
I	10	7352	603	436.10	35.00	401.10	55.0000000	                        
I	10	7352	611	442.00	35.00	407.00	55.0000000	                        
I	10	7352	982	442.00	35.00	407.00	55.0000000	                        
I	10	7353	982	437.10	35.00	402.10	55.0000000	                        
 	10	7354	004	1709.46	110.00	1599.46	220.0000000	                        
 	10	7354	501	39.35	3.00	36.35	5.0000000	                        
 	10	7354	502	39.35	3.00	36.35	5.0000000	                        
 	10	7354	601	438.35	35.00	403.35	55.0000000	                        
 	10	7354	602	438.35	35.00	403.35	55.0000000	                        
 	10	7354	603	438.35	35.00	403.35	55.0000000	                        
 	10	7354	982	434.87	35.00	399.87	55.0000000	                        
 	10	7355	004	1734.50	110.00	1624.50	220.0000000	                        
 	10	7355	501	39.92	3.00	36.92	5.0000000	                        
 	10	7355	502	39.92	3.00	36.92	5.0000000	                        
